PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
AEB,VIA PUBLICA,NORMAL,Schuko,41.396236,2.18219,91 AjBCN-ETRA COBRA,,,LC005,"Carrer d'Ausiàs March, 118",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.18219 41.396236),512,29
,,NORMAL,MENNEKES.F,41.78624,1.2874,Aparcament illa Guissona,,,,"Carrer Montsec, 7",Lleida,17,Guissona,1,cotxe i moto,POINT (1.2874 41.78624),773,19
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,,,BSM015,"Carrer de Marquès de Mulhacén, 49-51",Barcelona,8,Barcelona,6+2,cotxe i moto,POINT (2.115265 41.394009),512,29
Hotel Restaurant SAUSA,HOTEL-Restaurant,NORMAL,Schuko,42.09517389742783,2.892667204141617,Hotel Restaurant SAUSA,,,,"Carretera N-II, km 732",Girona,17,Terradelles,1,,POINT (2.892667204141617 42.09517389742783),297,11
Abertis-saba,VIA PUBLICA,NORMAL,Schuko,41.340072,2.125827,Seu zona franca Saba,,,,Carrer numero Un,Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.125827 41.340072),512,29
Estabanell y Pahisa,VIA PUBLICA (codiQR),NORMAL,Schuko,41.84919539,2.22780389,EP-Estabanell y Pahisa TONA,,,,"Carretera Manresa, s/n",Barcelona,8,Tona,1,cotxe,POINT (2.22780389 41.84919539),729,13
,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.62044,0.61788,EdRsR Lleida (AC22kW),22,AC,,"Carrer Magí Morera, 57",Lleida,25,Lleida,2,cotxe i moto,POINT (0.61788 41.62044),875,21
Institut Català d'Energia i Ajuntament de Tortosa,,RAPID,CCS Combo2+ChadeMO+MENNEKES.F,40.80762,0.52007,EdRsR-EdRR Tortosa (DC28W AC22kW) PIRVEC-15,28,AC-DC,PIRVEC-15,"Avinguda de la Generalitat, 72",Tarragona,43,Tortosa,2,,POINT (0.52007 40.80762),211,40
Ajuntament de Vic,VIA PUBLICA,NORMAL,Schuko,41.926851,2.245734,Xemeneia del Sucre,,,,"Avinguda del Mercat, 6",Barcelona,8,Vic,2,cotxe,POINT (2.245734 41.926851),912,13
Parking Galvany,,NORMAL,Schuko i MENNEKES.F,41.3969749826735,2.14315306395292,Aparcament Galvany,,,,"Carrer de Calaf, 28",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.14315306395292 41.3969749826735),512,29
"IBERDROLA SERVICIOS ENERGETICOS, SAU",VIA PUBLICA,NORMAL,Schuko,41.385166,2.116051,084 ETSEIB,,,LC037,Carrer de Pasqual i Vila 22 - Avinguda  Diagonal,Barcelona,8,Barcelona,6,moto,POINT (2.116051 41.385166),512,29
Restaurant Sol i vi,RESTAURANT,semiRAPID i NORMAL,MENNEKES.F+Schuko+J1772,41.40167,1.75702,Restaurant Sol i vi,,,,"Carretera de Sant Sadurní d'Anoia a Vilafranca del Penedès, km 4",Barcelona,8,Subirats,2,cotxe i moto,POINT (1.75702 41.40167),778,32
GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.393005,2.146561,(eTAXI) Villarroel- Diagonal (7.4kW),7.5,AC,QC004,"Carrer de Villarroel,277-Avinguda  Diagonal",Barcelona,8,Barcelona,2,taxi,POINT (2.146561 41.393005),512,29
Institut Català d'Energia i Ajuntament de Reus,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.15472,1.11168,EdRR Reus Riera Miró (DC50kW AC43kW),50,AC-DC,PIRVEC-4,"Riera d'Aragó, 30, ó Raval de Sant Pere, 27-29",Tarragona,43,Reus,2,cotxe,POINT (1.11168 41.15472),421,39
AEB,VIA PUBLICA,NORMAL,Schuko,41.381355,2.129424,"90 AjBCN-ETRA-COBRA Figols, Jardins Drs.Dolsa",,,LC011,"Carrer de Fígols, 6",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.129424 41.381355),512,29
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.31814,2.07481,EdRR El Prat de Llobregat (DC50kW AC44kW) AMB1,50,AC-DC,AMB1,Plaça de la Volateria-Carrer de Canudas,Barcelona,8,EL PRAT DE LLOBREGAT,1,cotxe,POINT (2.07481 41.31814),503,31
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.391895,2.169057,76 SABA Diputació,,,,"Carrer de la Diputació, 286",Barcelona,8,Barcelona,2,cotxe,POINT (2.169057 41.391895),512,29
Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols,,semiRAPID,2xMENNEKES.F,41.78059,3.0219,EdRsR Guíxols Estació BUSOS (AC22kW) PIRVEC-29,22,AC,PIRVEC-29,"Carrer Dr. Rovira, 47",Girona,17,Sant Feliu de Guíxols,2,,POINT (3.0219 41.78059),852,16
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.23474,1.80399,TESLA Destinació - Hotel Sofia (22kW),22,AC,,"Avinguda Sofia, 12",Barcelona,8,Sitges,2,cotxe,POINT (1.80399 41.23474),457,34
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.40646,2.15223,EdRR-Torrent de l'Olla (DC50kW AC43kW),50,AC-DC,FC005,"Carrer Torrent de l'Olla, 203",Barcelona,8,Barcelona,1,cotxe,POINT (2.15223 41.40646),512,29
AMERSAM,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.157893,1.105291,Area P Plaça Pintor Fortuny,,,,Plaça Pintor Fortuny,Tarragona,43,Reus,2,cotxe i moto,POINT (1.105291 41.157893),421,39
,,semiRAPID,TESLA i MENNEKES,41.38966,2.13507,CC Illa Diagonal (22kW),22,AC,,Avinguda Diagonal 559-Carrer de Numància,Barcelona,8,Barcelona,4,,POINT (2.13507 41.38966),512,29
MOBILITAT-IBERDROLA,VIA PUBLICA (MOBECPOINT),NORMAL,Schuko,41.459165763709166,2.228849977254868,MOBECPOINT-Institut Gaudí Construcció,,,,Avinguda Comunitat Europea,Barcelona,8,Badalona,1,moto,POINT (2.2288499772548676 41.459165763709166),531,29
Institut Català d'Energia i Ajuntament de Tremp,,semiRAPID,2xMENNEKES.F,42.16805,0.89549,EdRsR Tremp (AC22kW) PIRVEC-28,22,AC,PIRVEC-28,"Plaça Capdevila, 21",Lleida,25,Tremp,2,,POINT (0.89549 42.16805),305,9
AEB,VIA PUBLICA,NORMAL,Schuko,41.406525,2.152333,92 AjBCN-ETRA COBRA  Torrent de l'Olla,,,LC016,"Carrer del Torrent de l'Olla, 222",Barcelona,8,Barcelona,2,moto,POINT (2.152333 41.406525),512,29
El Corte Inglés,APARCAMENT CC,NORMAL,Schuko,41.387627,2.128022,98 El Corte Inglés,,,,"Avinguda Diagonal, 617",Barcelona,8,Barcelona,3,cotxe,POINT (2.128022 41.387627),512,29
,,semiRAPID,2xMENNEKES.F,41.74978,1.90322,EdRsR Navarcles (AC22kW),22,AC,,Carrer Pau Claris 14,Barcelona,8,Navarcles,,,POINT (1.90322 41.74978),865,18
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.395304,2.153848,Lateral-Muntanya Diagonal (Balmes-Tusset) 1,,,LC049,"Avinguda Diagonal, 508-510",Barcelona,8,Barcelona,2,moto,POINT (2.153848 41.395304),512,29
Leroy Merlin,APARCAMENT CC,NORMAL,Schuko,41.48142,2.04547,CC Leroy Merlin Sant Cugat,,,,"Parc. Activ. Econòmiques, Carretera de Rubí, s/n",Barcelona,8,Sant Cugat del Valles,,cotxe i moto,POINT (2.04547 41.48142),937,26
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.398969,2.153493,B:SM 57 - Plaça Gal·la Placídia,,,BAMSA002,"Plaça de Gal·la Placídia, 2",Barcelona,8,Barcelona,1,cotxe,POINT (2.153493 41.398969),512,29
TESLA Hotel Ibis,APARCAMENT HOTEL,superRAPID,TESLA,41.998494,2.817328,TESLA Supercarregador - Girona-Hotel IBIS-Costa Brava (120kW),120,DC,,"Carrer Francesc Ferrer, 16-18",Girona,17,Girona,4,cotxe,POINT (2.817328 41.998494),133,14
Camping Les Medes,APARCAMENT CAMPING,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.04324,3.18497,Camping Les Medes (AC22kW),22,AC,,"Paratge Camp de l'arbre, s/n",Girona,17,L'Estartit,2,cotxe i moto,POINT (3.18497 42.04324),153,16
